Name,Rating,Would Take Again,Difficulty
Ivan Schuller ,2.5/5,50%,3.2
Charles Chamberlain ,4.6/5,N/A,2.9
Hidenori Murakami ,2.8/5,0%,2.9
Bill Coles ,2.4/5,N/A,4.6
John Wheeler ,2/5,N/A,4.7
Stuart Brody ,3.2/5,0%,3.9
Lev Manovich ,1.6/5,N/A,3.2
David Jordan ,3.9/5,45%,3.3
Gary Jacobson ,4/5,N/A,2.5
Georgios Anagnostopoulos ,3.7/5,100%,2.9
Richard Cohen ,3.9/5,72%,2.7
Lakshmi Chilukuri ,4.1/5,50%,3.1
Tony Sebald ,2.4/5,N/A,3.4
Hans Paar ,3.1/5,100%,3.4
Elizabeth Jenkins ,3.1/5,N/A,2.8
Richard Arneson ,3/5,0%,3.4
Anne Hoger ,4.5/5,N/A,3.1
Rick Ord ,4.3/5,65%,2.6
Fred Lonidier ,2.5/5,N/A,2.4
Peter Smith ,2.9/5,N/A,3.5
Susan Marx ,2.9/5,52%,3
Stanley Opella ,2/5,0%,2.9
Yannis Papakonstantinou ,2.8/5,0%,3.8
Peter Wolynes ,1.8/5,N/A,2.2
Joel Conte ,4.4/5,100%,3.9
John Helton ,2/5,N/A,3.6
John Weare ,2.6/5,0%,4.1
Amanda Roberts ,4.6/5,N/A,1.9
Stephen Potts ,4.4/5,100%,2.3
Meredith Gould ,3.9/5,N/A,2.7
Melvyn Freilicher ,3.9/5,100%,3.7
Rae Armantrout ,3.8/5,N/A,2.6
Paul Price ,4.5/5,N/A,3.1
Raul Guerrero ,2.4/5,0%,1.8
N.D. Holland ,4.7/5,100%,2.4
Erika Beck ,2.7/5,N/A,4.2
Marcel Henaff ,4.8/5,N/A,2.8
Mike Cole ,3.9/5,N/A,2.9
Michael Davidson ,4.3/5,100%,2.9
Rosemary George ,3.8/5,100%,2.4
Barbara Sawrey ,4.5/5,N/A,2.5
Françoise Santore ,3.8/5,0%,3.3
Winifred Woodhull ,2.5/5,0%,2.6
Craig McKenzie ,4/5,0%,2.5
Stuart Anstis ,3.9/5,N/A,2.9
John Wavrik ,2.8/5,N/A,2.5
Adrian Wadsworth ,2.1/5,N/A,4.7
Marc Meyers ,3/5,0%,1.9
Nigel Crawford ,4.3/5,100%,3.3
Tony Edwards ,4.1/5,N/A,2.9
Paul Kube ,3/5,N/A,3
Daniel Vickers ,4.2/5,N/A,2.9
Benjamin Grinstein ,2.9/5,100%,4.1
David Meyer ,3.9/5,17%,4.1
